Permiso;Grupo;Protection
appperm.permission.TEST_PERMISSION2;appperm.permission-group.TEST_GROUP;Normal
appperm.permission.TEST_PERMISSION3;appperm.permission-group.TEST_GROUP1;Signature
appperm.permission.TEST_PERMISSION1;;Dangerous
appperm.permission.TEST1;;Normal
appperm.permission.TEST2;;Normal
appperm.permission.TEST3;;Signature
appperm.permission.TEST4;;Signature
appperm.permission.TEST5;;Dangerous
android.permission.MANAGE_EXTERNAL_STORAGE;;Signature
android.permission.READ_BASIC_PHONE_STATE;;Normal
android.permission.MANAGE_OWN_CALLS;;Normal
android.permission.CALL_COMPANION_APP;;Normal
android.permission.HIGH_SAMPLING_RATE_SENSORS;;Normal
android.permission.USE_FINGERPRINT;;Normal
android.permission.USE_BIOMETRIC;;Normal
android.permission.READ_PROFILE;;Normal
android.permission.WRITE_PROFILE;;Normal
android.permission.READ_SOCIAL_STREAM;;Normal
android.permission.WRITE_SOCIAL_STREAM;;Normal
android.permission.READ_USER_DICTIONARY;;Normal
android.permission.WRITE_USER_DICTIONARY;;Normal
android.permission.WRITE_SMS;;Normal
com.android.browser.permission.READ_HISTORY_BOOKMARKS;;Normal
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS;;Normal
android.permission.AUTHENTICATE_ACCOUNTS;;Normal
android.permission.MANAGE_ACCOUNTS;;Normal
android.permission.USE_CREDENTIALS;;Normal
android.permission.SUBSCRIBED_FEEDS_READ;;Normal
android.permission.SUBSCRIBED_FEEDS_WRITE;;Normal
android.permission.FLASHLIGHT;;Normal
com.android.alarm.permission.SET_ALARM;;Normal
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;;Normal
android.permission.INTERNET;;Normal
android.permission.ACCESS_NETWORK_STATE;;Normal
android.permission.ACCESS_WIFI_STATE;;Normal
android.permission.CHANGE_WIFI_STATE;;Normal
android.permission.MANAGE_REMOTE_AUTH;;Signature
android.permission.USE_REMOTE_AUTH;;Signature
android.permission.REGISTER_NSD_OFFLOAD_ENGINE;;Signature
android.permission.BLUETOOTH;;Normal
android.permission.BLUETOOTH_ADMIN;;Normal
android.permission.NFC;;Normal
android.permission.NFC_TRANSACTION_EVENT;;Normal
android.permission.NFC_PREFERRED_PAYMENT_INFO;;Normal
android.permission.CHANGE_WIFI_MULTICAST_STATE;;Normal
android.permission.VIBRATE;;Normal
android.permission.WAKE_LOCK;;Normal
android.permission.TRANSMIT_IR;;Normal
android.permission.MODIFY_AUDIO_SETTINGS;;Normal
android.permission.DETECT_SCREEN_CAPTURE;;Normal
android.permission.BIND_CALL_STREAMING_SERVICE;;Signature
android.permission.BIND_SATELLITE_GATEWAY_SERVICE;;Signature
android.permission.DISABLE_KEYGUARD;;Normal
android.permission.REQUEST_PASSWORD_COMPLEXITY;;Normal
